Title,Year,Rating,Votes:,Time,Genre,Stars,Short Story
Crash Landing on You,(2019–2020),8.7,"20,735",70 min,"Adventure, Comedy, Romance","Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun","
The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her."
One Ordinary Day,(2021– ),8.9,422,60 min,"Crime, Mystery","Kim Soo-hyun, Seung-Won Cha","
A remake of the BBC drama ""Criminal Justice"" that delves into the criminal justice system through the story of two men surrounding a woman's murder."
The Silent Sea,(2021– ),-,-,45 min,"Adventure, Drama, Mystery",-,"
During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets."
The King's Affection,(2021– ),8.1,781,-,"Drama, Romance","Lee Pil-mo, Eun-bin Park, Kim Ro Woon, Byungchan","
The story is set during the Joseon Dynasty when twins were considered an ominous sign. When the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace."
Amphibia,(2019– ),8.1,"3,790",23 min,"Animation, Short, Action","Brenda Song, Justin Felbinger, Bill Farmer, Amanda Leighton","
Ordinary Anne Boonchuy, 13, finds a treasure chest that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover her first true friendship in her life."
Vincenzo,(2021– ),8.5,"11,787",80 min,"Comedy, Crime, Drama","Song Joong-ki, Jeon Yeo-bin, Taecyeon, Kwak Dong-yeon","
During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice."
It's Okay to Not Be Okay,(2020),8.7,"17,402",80 min,"Comedy, Drama, Romance","Kim Soo-hyun, Seo Ye-Ji, Oh Jeong-Se, Park Gyuyoung","
An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths."
Guardian: The Lonely and Great God,(2016–2017),8.6,"16,487",120 min,"Comedy, Drama, Fantasy","Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na","
In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past."
Mouse,(2021– ),8.7,"3,583",80 min,"Action, Crime, Mystery","Lee Seung-gi, Lee Hee-joon, Park Joo-Hyun, Soo-jin Kyung","
A suspenseful story that will center around the key question, ""What if we could sort out psychopaths in advance?"""
"Now, We Are Breaking Up",(2021– ),7.8,748,60 min,"Drama, Romance","Ana Kim, Song Hye-Kyo, Jang Ki-Yong, Hee-Seo Choi","
The series is story of love and break ups in the romantic world. It illustrates the present scenario in the context of fashion industry"
Phineas and Ferb,(2007–2015),8.0,"40,699",15 min,"Animation, Short, Action","Vincent Martella, Thomas Brodie-Sangster, Dan Povenmire, Ashley Tisdale","
Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
Red Sleeve,(2021– ),8.8,238,70 min,"Drama, History, Romance","Jun-Ho Lee, Se-yeong Lee, Jang Hie-jin, Ji-Young Park","
Based on a novel of the same name, it tells the record of a royal court romance between the King of Joseon who believes his duty is to his country first above love, and a court lady who wants to protect the life she has chosen."
True Beauty,(2020–2021),8.1,"4,537",70 min,"Comedy, Drama, Romance","Moon Ga-young, Cha Eun-Woo, Hwang In-Yeop, Yoo-na Park","
After being bullied and discriminated because of her ugly looks, a high school girl transforms herself into a gorgeous ""goddess"" and quickly rises to fame after mastering the art of makeup via online tutorial videos."
The Boondocks,(2005–2014),8.4,"28,789",22 min,"Animation, Action, Comedy","Regina King, John Witherspoon, Gary Anthony Williams, Cedric Yarbrough","
Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather."
Itaewon Class,(2020),8.2,"9,933",70 min,"Drama, Romance","Seo Jun Park, Kim Da-Mi, Yoo Jae-myung, Nara","
An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death."
Jirisan,(2021– ),7.7,374,-,"Action, Drama, Mystery","Jun Ji-hyun, Ju Ji-Hoon, Choi Jung Hoo, Jo Han-chul","
Set against the backdrop of towering views of Mount Jiri, it depicts the story of rangers and other employees of the Jirisan National Park who climb through the mysterious and unexplored regions of the mountain."
Start-Up,(2020– ),8.1,"7,432",80 min,"Comedy, Drama, Romance","Bae Suzy, Nam Joo-Hyuk, Kim Seon-Ho, Kang Han-na","
Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry."
Mr. Sunshine,(2018),8.8,"6,045",80 min,"Action, Drama, History","Lee Byung-hun, Kim Tae-ri, Yoo Yeon-Seok, Yo-Han Byun","
A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman."
The Flower of Evil,(2020),8.7,"5,329",70 min,"Crime, Mystery, Romance","Lee Joon-Gi, Moon Chae-Won, Seo Hyun-woo, Choi Dae-hoon","
""Flower of Evil"" is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past."
Kim Possible,(2002–2007),7.2,"26,005",30 min,"Animation, Action, Adventure","Christy Carlson Romano, Will Friedle, Nancy Cartwright, Tahj Mowry","
A high school cheerleader and her accident-prone best friend balance their duties as global crime-fighters with the typical challenges of adolescence."
Stranger,(2017– ),8.5,"7,057",60 min,"Crime, Drama, Mystery","Cho Seung-woo, Bae Doona, Lee Joon-hyuk, Jeon Bae-soo","
With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption."
Vagabond,(2019),8.2,"6,531",60 min,"Action, Mystery, Thriller","Lee Seung-gi, Bae Suzy, Jung-hee Moon, Yun-shik Baek","
An ordinary man who comes across surprising circumstances that place him in the center of a huge corruption scandal."
Descendants of the Sun,(2016),8.3,"12,894",60 min,"Action, Comedy, Drama","Song Joong-ki, Song Hye-Kyo, Jin Goo, Kim Ji-Won","
This drama tells of the love story that develops between a surgeon and a special forces officer."
Nevertheless,(2021),7.3,"3,038",70 min,"Drama, Romance","Han So-hee, Song Kang, Lee Ho-jung, Yang Hye-Ji","
The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship."
Hotel Del Luna,(2019),8.2,"6,425",80 min,"Drama, Fantasy, Horror","Ji-eun Lee, Yeo Jin-gu, Shin Jeong-geun, Bae Hae-Sun","
When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
D.P.,(2021– ),8.3,"3,423",50 min,"Action, Crime, Drama","Jung Hae-In, Harrison Xu, Sukku Son, Kim Seong-gyoon","
A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty."
Move to Heaven,(2021– ),8.6,"4,129",60 min,Drama,"Olivia Castanho, Lee Jehoon, Tang Joon-sang, Sanyee Yuan","
Working as trauma cleaners, both Gu-ru and Sang-gu uncover various stories of the deceased while experiencing different emotions and sentiments toward life, death and family."
Extracurricular,(2020),7.7,"4,981",50 min,"Crime, Drama","Kim Dong-Hee, Park Joo-Hyun, Da-bin Jung, Nam Yoon-Su","
A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret."
What's Wrong with Secretary Kim,(2018),8.1,"9,116",60 min,"Comedy, Mystery, Romance","Park Min-Young, Seo Jun Park, Lee Tae-Hwan, Kim Byeong-Ok","
A romance between perfect but narcissistic second generation heir and his capable assistant."
Reflection of You,(2021– ),6.9,121,64 min,"Drama, Thriller","Garrison Michael Farquharson-Keener, Hyun-Jung Go, Shin Hyon Bin, Su-an Kim","
A thriving painter's enviable life begins to fray at the edges when a bright young woman she once befriended resurfaces as a shell of her former self."
Beyond Evil,(2021– ),8.2,"2,055",70 min,"Drama, Mystery, Thriller","Shin Ha-kyun, Yeo Jin-gu, Sung-eun Choi, Choi Dae-hoon","
The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest."
Snowdrop,(2021– ),10.0,140,70 min,"Drama, Romance","Jung Hae-In, Jisoo Kim, Yoo In-Na, Lee Jung-hyun","
Adapted from the handwritten notes of a man who escaped from a political prison camp in North Korea, Snowdrop is set against the backdrop of the 1987 Democracy Movement in South Korea."
The King: Eternal Monarch,(2020),8.2,"9,327",70 min,"Fantasy, Mystery, Romance","Lee Min-Ho, Kim Go-eun, Woo Do-Hwan, Kim Kyung-Nam","
A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective."
Strong Girl Bong-soon,(2017),8.2,"9,733",67 min,"Comedy, Crime, Drama","Park Bo-Young, Park Hyung-Sik, Ji Soo, Jun Suk-ho","
Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard."
Tale of the Nine Tailed,(2020– ),7.9,"3,306",70 min,"Fantasy, Horror, Romance","Lee Dong-Wook, Jo Bo-ah, Kim Bum, Kim Yong Ji","
An urban dark fantasy drama about a gumiho who settles into the city and a producer who is after it."
Hell Is Other People,(2019),7.9,"3,395",60 min,"Crime, Horror, Mystery","Si-wan Yim, Lee Dong-Wook, Lee Jeong-eun, Hyun-Wook Lee","
Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors."
Moon Lovers: Scarlet Heart Ryeo,(2016),8.7,"6,971",60 min,"Drama, Fantasy, History","Lee Joon-Gi, Ji-eun Lee, Kang Ha-Neul, Nam Joo-Hyuk","
Korean melodramatic adaptation of Chinese drama Startling by Each Step (2011) follows a woman who travels back in time to the Goryeo Dynasty of Korea whenever a total eclipse of the sun took place."
Something in the Rain,(2018),8.1,"5,036",75 min,"Drama, Romance","Son Ye-jin, Jung Hae-In, Joo Min-Kyung, Kim Chang-wan","
Yoon Jin Ah is a woman in her mid-30s who doesn't know yet what it's like to date a man. She's been dumped by a man many times because of her clumsy, reckless and foolish behavior. And ...                See full summary »
"
Arthdal Chronicles,(2019– ),8.4,"3,771",80 min,"Action, Drama, Fantasy","Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin","
Arthdal Chronicles depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes, their struggle, unity and love of people living in a virtual land called Arth."
Reply 1988,(2015–2016),9.1,"5,643",90 min,"Comedy, Drama, Family","Hyeri Lee, Go Kyung-Pyo, Ryu Jun-Yeol, Park Bo-Gum","
Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988."
Teenage Mutant Ninja Turtles,(1987–1996),7.9,"32,617",23 min,"Animation, Action, Adventure","Cam Clarke, Barry Gordon, Rob Paulsen, Townsend Coleman","
The adventures of a quartet of humanoid warrior turtles and their friends."
The Uncanny Counter,(2020– ),8.1,"4,450",65 min,"Action, Fantasy, Horror","Byeong-gyu Jo, Joon-Sang Yoo, Se-Jeong Kim, Yeom Hye-ran","
Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans."
Sijipeuseu: The Myth,(2021– ),7.1,"3,121",70 min,"Action, Drama, Fantasy","Cho Seung-woo, Park Shin-Hye, In-ho Tae, Halley Kim","
An unfathomable incident introduces a genius engineer to dangerous secrets of the world, and to a woman from the future who's come looking for him."
The K2,(2016),7.8,"5,071",60 min,"Drama, Romance, Thriller","Ji Chang-Wook, Song Yun-ah, Im Yoon-ah, Jo Sung-ha","
Kim Je Ha is a former soldier for hire. He is also called K2. He is hired as a bodyguard by Choi Yoo Jin. Choi Yoo Jin is the wife of Jang Se Joon, who is running for president. Meanwhile, ...                See full summary »
"
Big City Greens,(2018– ),7.2,"1,695",22 min,"Animation, Adventure, Comedy","Chris Houghton, Marieve Herington, Bob Joles, Artemis Pebdani","
The adventurous life of Cricket Green, a country boy who moves with his family from their rural farm to a modern metropolis."
While You Were Sleeping,(2017),8.4,"5,868",30 min,"Comedy, Drama, Fantasy","Bae Suzy, Lee Jong-Suk, Jung Hae-In, Lee Sang-Yeob","
The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true."
Money Heist Korea,(2022– ),-,-,60 min,"Action, Crime, Drama",-,"
A series of heists conducted by an unusual group of robbers."
Mr. Queen,(2020–2021),8.8,"3,582",70 min,"Comedy, Fantasy, Romance","Hye-Sun Shin, Kim Jung-hyun, Seol In-ah, Jae-won Lee","
When a modern day chef gets trapped in the body of a queen in the Joseon era, chaos ensues."
My Mister,(2018),9.1,"4,827",70 min,"Drama, Family","Sun-kyun Lee, Ji-eun Lee, Ji-Ah Lee, Park Ho-San","
A man in his 40's withstands the weight of life. A woman in her 20's goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other."
Hospital Playlist,(2020–2021),8.8,"4,075",84 min,"Comedy, Drama","Jo Jung-Suk, Yoo Yeon-Seok, Jung Kyung-ho, Dae-Myung Kim","
Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999."
The Penthouse: War in Life,(2020–2021),8.1,"2,004",70 min,"Crime, Drama, Mystery","Kim So-yeon, Eun-Kyung Shin, Ki-joon Uhm, Tae-gyu Bong","
The story of a woman who strives to achieve her goal of entering high society by becoming the ""queen"" in the 100th floor penthouse in Gangnam, the pinnacle of success in her eyes."
The World of the Married,(2020– ),8.1,"2,195",80 min,"Drama, Romance","Kim Hee-ae, Park Hae-joon, Han So-hee, Kim Young-min","
A story about a married couple whose betrayal of one another leads to a whirlwind of revenge."
Chimera,(2021– ),8.3,72,-,"Mystery, Thriller","Lee Hee-joon, Nam Gi-Ae, Joon-seok Heo, Woo Hyeon","
An explosion took place in the past. That explosion led to a serial murder case known as the Chimera case. 35 years later, a similar explosion takes place."
Teenage Mutant Ninja Turtles,(2003–2010),7.8,"9,571",30 min,"Animation, Action, Adventure","Michael Sinterniklaas, Wayne Grayson, Gregory Abbey, Sam Riegel","
The continuing adventures of a quartet of turtle superheroes."
Boys Over Flowers,(2009),7.9,"10,628",70 min,"Comedy, Drama, Romance","Ku Hye-Sun, Lee Min-Ho, Kim Hyun-joong, Kim Bum","
Poor girl attends the elite Shin Hwa High and is bullied by the leader of F4 (the four richest boys). He becomes attracted to her; however, she has a crush on his best friend. Whom will she choose?"
Just Between Lovers,(2017–2018),8.2,"1,390",70 min,"Drama, Romance","Jun-Ho Lee, Jin-ah Won, Ki-woo Lee, Kang Han-na","
A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever."
Melancholia,(2021– ),7.6,124,-,"Drama, Romance","Woo Da-Vi, Lim Soo-jung, Lee Do-Hyun, Choi Dae-hoon","
Set at a private high school, a beautiful story emerges between mathematics teacher and a genius mathematics student."
Romance Is a Bonus Book,(2019),8.0,"4,300",62 min,Romance,"Lee Na-Young, Lee Jong-Suk, Jeong Eu-Gene, Wi Ha-Joon","
Cha Eun Ho is a successful and handsome writer who is also the youngest chief editor at a publishing company. He has a calm demeanor and remains reasonable at work. He then becomes involved...                See full summary »
"
W,(2016),8.1,"8,586",60 min,"Drama, Fantasy, Romance","Lee Jong-Suk, Han Hyo-joo, Eui-sung Kim, Jeong Eu-Gene","
A love story between a couple in their early thirties. They belong to the same era but alternate realities."
The Empress Ki,(2013–2014),8.5,"2,324",-,"Action, Drama, History","Ha Ji-Won, Ji Chang-Wook, Hye-Rin Han, Ju Jin-Mo","
A Korea-born warrior girl had to be a servant at the Mongol Yuan court but somehow overcame her low status to become an empress in another land."
The Devil Judge,(2021),8.4,"1,476",75 min,"Crime, Drama, Mystery","Seong Ji, Min-Jung Kim, Jinyoung Park, Jae-kyung Kim","
During a time of chaos, a judge turns the court into something like a reality show and punishes evil people mercilessly."
Doom at Your Service,(2021– ),8.1,"2,476",65 min,"Drama, Fantasy, Romance","Park Bo-Young, Seo In-Guk, Lee Soo-hyuk, Tae-oh Kang","
Tak Dong Kyung lives a fairly ordinary life until she stumbles into an unexpected fate and ends up signing a hundred-day contract with Myul Mang, risking her everything."
Legend of the Blue Sea,(2016–2017),8.1,"7,481",60 min,"Comedy, Fantasy, Romance","Jun Ji-hyun, Lee Min-Ho, Lee Hee-joon, Shin Won Ho","
The television series centers on the love story of Heo Joon Jae, who is a clever con-man, and a mermaid named Shim Chung, who falls in love with him."
Run On,(2020–2021),7.6,"2,226",70 min,"Drama, Romance","Si-wan Yim, Shin Se-Kyung, Sooyoung Choi, Tae-oh Kang","
Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life"
My Roommate Is a Gumiho,(2021),7.9,"1,836",65 min,"Comedy, Fantasy, Romance","Jang Ki-Yong, Hyeri Lee, Kang Han-na, Kim Do-Wan","
The thrilling love story of Shin Woo Yeo, a 999-years-old gumiho who wants to become human, and Lee Dam, who accidentally swallowed his fox bead."
Yumi's Cells,(2021– ),8.5,"1,287",70 min,"Comedy, Drama, Romance","Kim Go-eun, Ahn Bo-Hyun, Sang-yi Lee, Jinyoung Park","
The story of an ordinary office worker named Yumi-from the point of view of the many brain cells in her head controlling her every thought, feeling, and action."
Hwarang: The Poet Warrior Youth,(2016–2017),8.0,"3,115",60 min,"Comedy, Drama, History","Seo Jun Park, Go Ara, Park Hyung-Sik, Choi Minho","
Revolves around an elite group of male warrior youth called Hwarang who grow through passion and love in Seorabeol, the capital of the ancient kingdom of Silla."
My Love from Another Star,(2013–2014),8.2,"11,092",60 min,"Comedy, Drama, Fantasy","Jun Ji-hyun, Kim Soo-hyun, Park Hae-Jin, Yoo In-Na","
Do Min-Joon, an alien that came to our planet 400 years ago, will be able to return to his planet in 3 months, but when he meets famous actress Chun Song-Yi, all the centuries he spent distancing himself from humans come to an end."
Law School,(2021– ),8.1,"1,701",65 min,"Crime, Drama, Mystery","Myung-Min Kim, Kim Bum, Hye-young Ryu, Lee Jeong-eun","
When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students."
Heirs,(2013),7.5,"9,374",55 min,"Comedy, Drama, Romance","Lee Min-Ho, Park Shin-Hye, Woo-bin Kim, Kim Ji-Won","
After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea's über rich."
Encounter,(2018–2019),7.3,"1,234",60 min,"Drama, Romance","Park Bo-Gum, Song Hye-Kyo, Sun-Young Kwak, Seung-jo Jang","
Brought together by fate, a woman who seems to have everything and a young man who seems to have nothing decides to give up an ordinary life to be together."
The Transformers,(1984–1987),8.0,"21,341",30 min,"Animation, Action, Adventure","Frank Welker, Peter Cullen, Corey Burton, Christopher Collins","
Two opposing factions of transforming alien robots engage in a battle that has the fate of Earth in the balance."
Healer,(2014–2015),8.4,"7,340",60 min,"Action, Comedy, Crime","Ji Chang-Wook, Park Min-Young, Tae-Mi, Yoo Ji-Tae","
An old murder incident involving a group who ran an illegal broadcasting station brings together different people - a mysterious errand guy ""Healer"" who possesses disguise and fighting ...                See full summary »
"
Secret Royal Inspector Joy,(2021– ),7.8,144,-,"Comedy, Drama, History","Nam Mi-Jung, Taecyeon, Kim Hye-Yoon, Jung Soon-won","
Set in Joseon dynasty, it tells the story of a young gourmet who unintentionally becomes a royal inspector and a divorced woman who rushes to find happiness, as they team up to investigate and defeat corrupt politicians."
Black,(2017),7.9,"3,402",50 min,"Crime, Drama, Fantasy","Song Seung-heon, Go Ara, Lee El, Jo Jae-yoon","
A man possessed by death. A woman who can see death. The earthly and the afterworld collide dangerously."
Voice,(2017–2021),7.6,"1,716",60 min,"Action, Crime, Mystery","Lee Hana, Eun-seo Son, Song Boo-gun, Kim Joong-Ki","
Revolves around an emergency call center and the employees who attempt to fight crime using the limited information they get from the urgent calls they receive."
A Wonderful Sight,(2021– ),6.6,125,70 min,"Action, Comedy, Thriller","Lee Yeong-ae, Hye-jun Kim, Kim Hae-sook, Sun-Young Kwak","
A reclusive ex-cop reenters the game as an insurance investigator, searching for clues in crime scenes perfectly staged by a serial killer in her midst."
Love Alarm,(2019–2021),7.0,"4,483",50 min,"Comedy, Drama, Romance","Kim So-Hyun, Song Kang, Ga-ram Jung, Go Min-Si","
In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities."
Dali and the Cocky Prince,(2021– ),8.2,393,70 min,"Comedy, Drama, Romance","Kwon Yul, Park Gyuyoung, Min-Jae Kim, Yeonwoo","
It is about the romance between a parvenu who lacks education, and the daughter of a prestigious family who tries to save a collapsed art museum."
18 Again,(2020),8.2,"1,326",70 min,"Comedy, Fantasy, Romance","Ha-neul Kim, Yoon Sang-Hyun, Lee Do-Hyun, No Jeong-ee","
A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them."
Signal,(2016),8.6,"5,824",80 min,"Crime, Drama, Fantasy","Lee Jehoon, Kim Hye-su, Cho Jin-woong, Hyun-Sung Jang","
Detectives from the present and a detective from the past communicate via walkie-talkie to solve a long-time unsolved case."
Bad and Crazy,(2021– ),9.1,20,-,"Crime, Mystery","Lee Dong-Wook, Han Ji-Eun, Hak-Yeon Cha, Wi Ha-Joon","
A mystery drama in which detectives with different personalities solve various cases."
Alhambeura Goongjeonui Chooeok,(2018–2019),7.8,"4,902",60 min,"Drama, Romance, Sci-Fi","Park Shin-Hye, Hyun Bin, Jin-Woong Min, Park Hoon","
After suffering a setback following a friend's betrayal Yoo Jin Woo travels to Spain on a business. There, he stays at an old hostel owned by a former classical guitarist Jung Hee Joo. The two get entangled in a mysterious incident."
A Korean Odyssey,(2017–2018),8.1,"4,087",75 min,"Comedy, Fantasy, Horror","Lee Seung-gi, Seung-Won Cha, Yeon-Seo Oh, Hong-ki Lee","
In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere."
Taxi Driver,(2021– ),8.2,"1,320",70 min,"Action, Crime, Drama","Lee Jehoon, Esom, Eui-sung Kim, Pyo Ye-Jin","
The story of a deluxe taxi driver who gets revenge on behalf of his passengers. It is based on the webtoon Deluxe Taxi by Carlos and Lee Jae-jin"
Lawless Lawyer,(2018),7.6,"1,335",60 min,"Action, Drama, Thriller","Lee Joon-Gi, Seo Ye-Ji, Lee Hye-yeong, Min-su Choi","
A ""gangster lawyer"" who doesn't trust the law and feels free to use his fists. He takes advantage of loopholes in the law and boasts an excellent win rate. Other lawyers may consider the ...                See full summary »
"
Star Wars: Clone Wars,(2003–2005),7.8,"24,894",133 min,"Animation, Action, Adventure","Mat Lucas, James Arnold Taylor, André Sogliuzzo, Grey Griffin","
The events and battles of the Galactic Republic's last major war are recounted."
Alvinnn!!! And the Chipmunks,(2015– ),4.6,"1,304",11 min,"Animation, Comedy, Family","Ross Bagdasarian Jr., Janice Karman, Vanessa Bagdasarian, Bettina Kenney","
A single dad has his hands full raising six rambunctious chipmunks in this animated comedy."
Her Private Life,(2019),7.7,"2,912",75 min,"Comedy, Romance","Ahn Bo-Hyun, Park Jin-Joo, Bo-ra Kim, Jung Je-Won","
A romantic comedy about a talented gallery curator named Sung Duk Mi, who is an idol fan-girl underneath her professional veneer. Meanwhile, her boss Ryan becomes a passionate fan-boy of her."
The Veil,(2021– ),7.7,475,-,"Action, Crime, Drama","Min Namkoong, Ha-seon Park, Ji-Eun Kim, Kim Do-Hyun","
A spy investigation show with a story about a top National Intelligence Service (NIS) agent. In his endeavor to uncover the internal traitor that brought him to his downfall, he confronts a much bigger enemy behind the organization."
Running Man,(2010– ),9.0,"2,938",80 min,"Comedy, Game-Show, Reality-TV","Jae-Suk Yoo, Jong-Kook Kim, Haha, Kwang-Soo Lee","
Running Man is a reality-variety show where the cast must complete missions at various places to win the race."
My Country: The New Age,(2019),8.3,"1,648",80 min,"Action, Drama, History","Yang Se-Jong, Woo Do-Hwan, Jang Hyuk, Seol-Hyun Kim","
Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country."""
100 Days My Prince,(2018),7.7,"1,659",75 min,"Action, Comedy, History","Kyung-soo Do, Nam Ji-Hyun, Jo Sung-ha, Jo Han-chul","
Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette."
Record of Youth,(2020),7.3,"1,925",70 min,"Drama, Romance","Park Bo-Gum, So-dam Park, Woo-Seok Byeon, Shin Dong-mi","
Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams."
Oh My Venus,(2015–2016),7.8,"4,237",60 min,"Comedy, Drama, Romance","So Ji-seob, Shin Min-a, Sung Hoon, Henry Lau","
A lawyer in her thirties coming out of a long relationship decides to regain her figure and health after meeting a renowned personal trainer who obsesses with leading a healthy lifestyle after suffering a serious injury in his childhood."
