ID,BirthYear,Education,Marital_Status,Income,NKids,EnrollDate,Recency,Complain,AmtFruits,AmtMeats,AmtFish,AmtSweets,AmtGold,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDiscPurchases,AccCampaign,Response
57,1969,Graduation,Widow,40590,2,2/10/2013,30,0,0,50,6,11,37,3,4,3,5,None,No
58,1970,Master,Married,36138,2,16/7/2013,48,0,0,16,0,0,5,3,1,4,5,None,No
59,1973,Graduation,Single,34853,2,23/12/2013,75,0,3,15,2,3,2,2,0,3,2,None,No
60,1952,Graduation,Single,44213,2,29/11/2013,48,0,11,35,0,4,7,2,1,5,4,None,No
61,1970,Graduation,Married,72940,0,19/6/2013,13,0,74,298,162,149,116,3,3,6,1,None,No
62,1989,Graduation,Single,81217,0,19/7/2013,77,0,70,324,146,40,84,3,7,11,1,None,No
63,1981,Master,Single,22944,1,23/12/2013,67,0,3,19,4,5,26,3,0,3,3,None,No
64,1961,PhD,Together,63342,1,16/10/2012,48,0,21,118,13,10,21,8,3,5,3,None,No
65,1970,Master,Married,61872,1,13/12/2013,81,0,5,159,36,27,16,4,4,9,4,None,No
66,1968,Graduation,Widow,73455,0,28/10/2013,98,0,61,757,186,163,20,6,5,10,1,None,No
67,1978,Graduation,Together,42554,2,12/1/2013,93,0,1,11,0,0,0,2,0,3,2,None,No
68,1973,Graduation,Married,51148,2,18/2/2013,38,0,6,45,8,9,12,5,1,6,4,None,No
69,1957,Graduation,Married,47743,1,22/3/2013,56,0,2,43,0,12,20,4,1,6,3,None,No
70,1972,PhD,Married,57091,1,23/11/2012,82,0,0,24,6,0,4,9,2,5,2,None,Yes
71,1970,Graduation,Divorced,72967,1,15/12/2012,1,0,35,179,0,0,125,7,2,8,2,None,Yes
72,1976,Graduation,Divorced,40780,1,8/9/2012,30,0,27,71,13,3,34,7,1,5,4,None,No
73,1950,Graduation,Together,48070,1,13/1/2013,33,1,14,83,6,9,19,8,2,6,3,None,No
74,1969,Master,Married,43142,2,18/2/2014,84,0,1,7,2,1,4,1,0,2,1,None,No
75,1978,2n Cycle,Married,36550,1,19/2/2013,74,0,90,94,123,103,120,9,1,5,5,None,No
76,1974,Graduation,Married,40049,1,29/11/2012,61,0,65,52,10,44,28,3,2,6,3,None,No
77,1954,Graduation,Divorced,76773,0,25/2/2013,79,0,56,449,86,33,16,2,2,11,1,None,No
78,1971,Graduation,Married,52531,0,30/12/2012,68,0,112,151,51,72,125,7,2,10,2,None,No
79,1954,Graduation,Divorced,64497,1,10/9/2012,17,0,48,320,42,32,192,11,4,9,5,None,Yes
80,1976,Basic,Married,7500,0,13/11/2012,59,0,16,11,11,1,16,2,0,3,1,None,No
81,1964,Graduation,Divorced,41638,1,13/2/2013,68,0,0,31,4,0,91,5,5,3,4,None,No
82,1985,Graduation,Married,55357,2,19/2/2013,66,0,64,116,84,25,64,6,2,11,3,None,No
83,1958,Master,Alone,61331,2,10/3/2013,42,0,5,47,0,5,41,11,1,6,5,None,No
84,1976,Master,Divorced,75012,0,25/1/2014,41,0,142,218,164,58,151,3,8,11,1,None,No
85,1978,PhD,Single,54880,1,1/3/2013,57,0,85,137,102,45,118,6,2,11,2,None,No
86,1958,Master,Together,42315,1,12/7/2013,90,0,15,80,17,11,80,1,4,4,3,None,No
87,1989,Graduation,Single,9255,1,20/12/2013,91,0,0,7,2,0,4,1,1,2,1,None,No
88,1956,PhD,Widow,35340,2,29/6/2014,1,0,0,12,0,1,5,2,0,3,2,None,No
89,1980,Graduation,Together,69508,1,14/11/2012,48,0,32,162,42,32,43,11,4,11,2,None,No
90,1946,PhD,Married,51012,0,18/4/2013,86,0,9,63,2,9,24,4,1,4,1,None,No
91,1986,2n Cycle,Married,7500,1,7/2/2013,96,0,11,5,4,6,9,2,0,3,2,None,No
92,1972,PhD,Married,79930,0,8/8/2012,72,0,86,740,67,51,17,3,5,8,1,None,No
93,1944,Graduation,Married,65275,0,3/4/2013,9,0,14,218,91,14,21,4,3,13,1,None,No
94,1986,Graduation,Married,83512,0,17/6/2014,31,0,61,835,80,20,101,4,7,10,1,Both,Yes
95,1988,Graduation,Married,84219,0,2/2/2014,27,0,137,400,45,137,45,3,4,10,1,None,Yes
96,1973,PhD,YOLO,48432,1,18/10/2012,3,0,3,50,4,3,42,7,1,6,5,None,No
97,1970,Graduation,Single,30015,1,2/2/2014,28,0,0,22,2,3,5,1,0,4,2,None,No
98,1977,Graduation,Together,96876,0,6/8/2013,79,0,43,735,40,194,21,7,7,9,1,First,Yes
99,1985,Master,Married,20559,1,12/3/2013,88,0,1,29,3,0,7,2,0,3,2,None,No
100,1974,Graduation,Married,34421,1,1/7/2013,81,0,3,7,6,2,9,1,0,2,1,None,No
101,1985,Graduation,Together,54006,1,18/9/2012,42,1,77,203,6,24,97,8,1,7,2,None,No
102,1989,Graduation,Married,37155,1,31/1/2013,51,0,0,26,7,15,3,2,0,4,1,None,No
103,1966,Basic,Together,22634,0,16/1/2013,47,0,23,11,8,6,46,2,1,2,1,None,No
104,1978,Graduation,Married,65819,0,29/11/2012,99,0,38,701,149,165,63,5,4,10,1,None,No
105,1954,PhD,Divorced,57333,1,22/9/2012,55,0,14,397,76,58,176,8,5,9,11,None,Yes
106,1987,Graduation,Divorced,81361,0,25/2/2014,18,0,23,424,27,65,76,3,10,13,1,None,No
107,1989,Graduation,Single,46107,1,10/2/2014,78,0,9,27,16,9,33,1,1,4,1,None,No
108,1954,Graduation,Married,62820,0,11/5/2013,51,0,61,265,138,61,53,3,4,6,1,None,No
109,1952,Graduation,Divorced,62335,1,23/5/2013,87,0,131,217,85,6,26,3,3,13,2,None,No
110,1981,PhD,Together,56937,1,4/8/2012,81,0,8,125,11,8,8,8,6,9,7,None,Yes
111,1991,Graduation,Single,90273,0,14/12/2013,32,0,129,853,120,74,111,5,6,7,1,First,Yes
112,1964,Graduation,Married,42523,0,23/4/2014,96,0,36,11,3,26,35,1,1,4,1,None,No
113,1976,2n Cycle,Together,26907,2,20/8/2013,10,0,1,7,0,3,2,1,0,3,2,None,No
114,1970,Master,Divorced,78579,0,22/12/2012,35,0,66,549,216,66,99,5,6,4,1,None,Yes
115,1957,Graduation,Widow,66033,1,20/1/2013,76,0,35,179,46,59,65,8,3,7,2,None,No
116,1967,Graduation,Single,25930,2,10/10/2013,87,0,1,2,2,0,4,1,0,2,1,None,No
117,1955,2n Cycle,Divorced,41769,1,13/2/2013,31,0,29,131,32,0,27,8,1,7,6,None,No
118,1953,PhD,Together,53593,2,7/8/2012,60,0,4,78,6,0,43,7,2,6,8,None,No
119,1960,Graduation,Together,30507,0,11/3/2013,29,0,36,74,38,20,110,5,1,4,1,None,No
120,1977,PhD,Married,69389,1,28/9/2012,17,0,7,238,69,46,15,7,2,12,1,None,No
121,1984,Master,Single,18890,0,10/11/2012,5,0,4,1,7,2,15,0,1,2,1,None,Yes
122,1951,Graduation,Married,32871,2,9/3/2013,28,0,2,12,0,2,5,1,0,3,1,None,No
123,1966,Master,Married,57183,2,19/3/2013,51,0,5,64,7,0,70,9,1,7,8,None,No
124,1951,Graduation,Married,57304,1,11/3/2013,61,0,80,329,138,17,106,7,6,10,2,None,No
125,1967,Graduation,Single,52074,1,4/4/2014,77,0,0,12,0,0,48,2,2,2,1,None,No
126,1980,Basic,Married,16005,1,14/8/2012,69,0,3,2,20,30,47,2,1,2,3,None,No
127,1989,PhD,Single,33996,0,11/9/2013,46,0,2,15,8,0,6,1,1,3,1,None,No
128,1973,Master,Divorced,52034,2,17/5/2013,67,0,0,93,7,13,73,4,2,5,5,None,No
129,1957,PhD,Married,37633,2,20/9/2012,49,0,4,20,0,0,1,1,0,3,2,None,No
130,1954,Graduation,Together,36807,2,20/12/2012,88,0,2,5,0,0,5,1,0,2,1,None,No
131,1969,Graduation,Together,74918,0,12/3/2013,78,0,59,913,25,19,59,5,9,6,1,None,Yes
132,1971,Graduation,Married,73691,1,6/11/2013,58,0,21,250,85,43,73,6,2,8,2,None,No
133,1975,2n Cycle,Widow,47682,1,15/2/2013,80,0,61,83,97,57,61,4,3,8,4,None,No
134,1952,Graduation,Divorced,51537,1,9/12/2012,27,0,20,204,0,0,92,2,2,11,3,None,No
135,1977,Master,Married,50353,0,8/6/2014,72,0,15,153,67,31,35,4,4,6,1,None,No
136,1949,PhD,Together,67911,1,22/5/2014,63,0,0,356,63,28,0,6,7,11,3,None,No
137,1983,Graduation,Together,28427,1,21/3/2013,67,0,3,19,3,3,6,2,0,3,2,None,No
138,1949,PhD,Married,80360,0,3/3/2013,56,0,86,454,112,43,43,4,4,5,2,First,No
139,1981,2n Cycle,Single,42395,2,4/4/2014,35,0,13,57,24,15,25,3,1,4,4,None,No
140,1981,Graduation,Together,42162,1,19/11/2013,31,0,7,59,2,4,27,3,1,3,2,None,Yes
141,1975,PhD,Divorced,60554,1,9/8/2013,8,0,7,76,110,15,15,8,4,9,2,None,No
142,1981,2n Cycle,Together,75774,1,2/5/2014,27,0,21,134,258,14,56,7,5,8,1,None,No
143,1967,Graduation,Together,54178,1,21/1/2014,79,0,9,39,4,0,7,2,2,5,1,None,No
144,1971,Master,Divorced,42835,2,30/6/2013,64,0,4,93,12,9,98,6,6,4,7,None,No
145,1973,Graduation,Married,20895,1,6/10/2012,24,0,3,17,3,0,4,2,0,3,1,None,No
146,1965,2n Cycle,Divorced,60161,1,23/10/2012,17,0,44,212,46,8,177,11,4,8,3,None,No
147,1987,Graduation,Single,23442,1,24/12/2012,71,0,0,6,8,6,5,1,0,3,1,None,No
148,1960,Graduation,Together,44512,2,30/8/2013,57,0,1,6,0,0,2,1,0,3,2,None,No
149,1968,Graduation,Together,40521,2,5/4/2013,82,0,0,5,0,0,4,0,1,2,1,None,No
150,1969,Master,Together,44602,2,15/2/2014,35,0,2,89,0,0,34,6,1,4,6,None,No
151,1975,Graduation,Married,74190,1,12/5/2014,49,0,81,86,168,91,64,4,2,11,2,None,No
152,1945,Graduation,Widow,63285,0,5/11/2013,84,0,124,249,50,38,134,6,5,13,1,None,No
153,1992,Master,Single,92859,0,19/10/2012,46,0,61,921,52,61,20,5,4,12,1,None,No
154,1987,PhD,Single,74004,0,24/2/2014,5,0,48,560,42,176,48,4,6,4,1,First,Yes
155,1966,PhD,Together,65814,1,2/3/2014,90,0,14,113,10,14,35,8,2,10,3,None,No
156,1955,Master,Married,38452,2,30/3/2014,62,0,0,14,0,0,2,3,0,3,3,None,No
157,1977,Graduation,Married,54809,2,11/9/2013,0,0,6,57,13,13,22,2,1,5,4,None,No
158,1975,PhD,Married,45503,1,25/9/2013,54,0,4,44,6,1,18,3,1,4,1,None,No
159,1971,Graduation,Married,64722,1,26/5/2014,47,0,0,280,60,147,15,8,2,11,4,None,No
160,1953,Master,Together,56129,1,20/6/2013,65,0,48,133,39,72,48,6,2,10,4,None,No
161,1968,Graduation,Single,70566,1,6/10/2013,4,0,28,215,84,28,21,6,5,9,2,None,No
162,1972,Master,Married,57136,2,9/7/2013,48,0,5,109,21,109,92,5,2,10,9,None,No
163,1966,Graduation,Married,44794,1,8/6/2014,99,0,0,7,0,0,4,2,0,3,1,None,No
164,1949,Master,Married,62845,2,1/10/2012,3,0,0,45,0,0,34,3,4,10,11,None,Yes
165,1976,Master,Married,49681,2,4/11/2013,66,0,0,26,0,0,21,7,1,7,6,None,No
166,1966,Basic,Together,22634,0,16/1/2013,47,0,23,11,8,6,46,2,1,2,1,None,No
167,1951,Master,Together,29298,2,7/9/2013,60,0,0,2,2,0,1,1,0,2,1,None,No
168,1948,PhD,Married,61467,2,9/12/2012,69,0,16,114,0,5,49,5,2,10,3,None,No
169,1986,Graduation,Married,23477,1,21/10/2013,39,0,15,54,3,8,29,3,0,4,3,None,No
170,1980,Graduation,Together,62994,1,4/3/2014,74,0,12,48,4,12,12,6,2,4,1,None,No
171,1986,Graduation,Divorced,21846,1,22/10/2013,38,0,17,18,6,10,26,4,0,3,4,None,No
172,1975,Graduation,Married,46149,1,29/11/2013,36,0,6,71,4,0,27,5,1,7,5,None,No
173,1972,PhD,Single,41644,2,9/5/2014,67,0,3,4,2,0,2,1,0,3,2,None,No
174,1979,2n Cycle,Married,31086,2,4/5/2013,79,0,2,11,3,0,16,1,1,2,2,None,No
175,1978,PhD,Married,37717,1,23/11/2012,31,1,0,6,4,1,5,1,0,2,1,None,No
176,1981,Graduation,Married,40211,2,30/7/2013,30,0,1,7,2,1,25,2,1,2,2,None,No
177,1987,Graduation,Single,57100,1,18/5/2014,9,0,11,99,15,11,17,3,2,7,2,None,No
178,1982,Graduation,Single,39660,1,8/8/2012,36,0,13,78,20,13,36,7,1,3,3,None,Yes
179,1962,Graduation,Married,56181,1,8/1/2013,6,0,103,69,8,44,48,4,2,7,1,None,No
180,1965,Graduation,Together,36317,1,22/5/2013,53,0,3,25,3,2,13,3,0,4,2,None,No
181,1958,2n Cycle,Together,26490,0,22/9/2012,92,0,47,52,21,20,25,3,1,5,2,None,No
182,1971,Graduation,Single,10245,1,15/5/2013,32,0,7,7,6,4,13,1,2,2,3,None,No
183,1960,Basic,Widow,22123,0,27/3/2014,77,0,3,24,34,7,31,2,1,3,1,None,No
184,1962,Master,Together,47175,2,28/10/2012,81,0,2,44,6,2,19,4,2,4,7,None,Yes
185,1972,Graduation,Married,74716,1,12/9/2013,92,0,27,421,13,195,71,7,3,5,2,None,No
186,1971,Graduation,Divorced,55635,1,13/11/2012,34,0,65,164,50,49,27,7,3,7,4,None,No
187,1966,Graduation,Married,44529,1,5/7/2013,98,0,13,91,17,6,26,6,2,11,6,None,No
188,1976,Graduation,Married,46049,2,21/7/2013,11,0,9,112,19,14,19,5,2,9,10,None,Yes
189,1968,Master,Divorced,41335,1,26/12/2013,24,0,19,21,16,14,5,4,1,4,3,None,No
190,1956,Graduation,Single,54252,2,28/5/2013,25,0,4,26,8,4,44,4,1,5,5,None,No
191,1957,Graduation,Together,47320,1,1/8/2013,10,0,19,111,50,15,19,5,1,8,6,None,No
192,1975,Graduation,Single,33249,1,20/2/2013,11,0,10,21,19,14,42,2,1,3,2,None,No
193,1984,Graduation,Married,40059,1,28/9/2013,82,0,29,92,28,10,145,6,2,3,1,None,No
194,1965,Graduation,Married,81168,0,7/5/2014,84,0,0,592,147,22,22,6,4,7,1,First,No
195,1991,Graduation,Single,86037,0,2/1/2013,95,0,44,125,29,20,22,6,7,11,1,None,Yes
196,1961,Master,Together,74881,2,8/3/2013,48,0,72,270,36,27,54,9,2,12,4,None,No
197,1981,PhD,Together,44953,0,21/12/2012,31,0,17,133,11,8,124,7,3,13,1,None,No
198,1977,Graduation,Together,46931,3,24/4/2014,94,0,0,17,3,1,16,1,1,3,2,None,No
199,1952,Graduation,Single,61823,1,18/2/2013,26,0,7,134,37,14,169,8,2,10,4,None,No
200,1959,PhD,Single,34554,1,30/3/2014,43,0,1,6,2,0,5,2,0,3,2,None,No
201,1973,Graduation,Married,79593,0,12/5/2014,70,0,60,568,110,133,145,5,6,7,1,None,No
202,1970,PhD,Together,64413,1,1/8/2013,27,0,5,44,0,10,20,5,1,5,1,None,No
203,1965,PhD,Single,40637,2,17/7/2013,72,0,0,13,0,0,3,1,0,3,2,None,No
204,1989,2n Cycle,Married,85710,0,5/5/2013,5,0,20,350,29,30,33,6,9,10,1,None,No
205,1973,PhD,Single,48432,1,18/10/2012,3,1,3,50,4,3,42,7,1,6,5,None,Yes
206,1953,Graduation,Together,58398,0,14/5/2013,44,0,5,201,21,21,49,5,4,8,3,None,No
207,1965,Graduation,Together,52117,1,16/8/2012,55,0,10,107,30,0,20,5,2,4,2,None,No
208,1972,Master,Married,35641,1,14/7/2013,11,0,3,67,8,9,28,3,1,4,2,None,Yes
209,1952,Graduation,Married,28332,0,30/4/2014,58,0,10,13,4,15,9,2,1,4,1,None,No
210,1969,Graduation,Married,56796,1,16/2/2013,24,0,38,161,62,47,37,8,9,7,3,None,No
211,1976,Master,Married,53204,2,20/3/2014,40,0,0,8,2,0,6,1,0,3,1,None,No
212,1971,PhD,Married,42403,1,11/12/2013,18,0,1,11,0,5,3,1,0,3,1,None,No
213,1963,Graduation,Single,80695,0,29/12/2013,85,0,129,984,193,37,18,5,8,5,1,None,No
214,1976,PhD,Divorced,70179,1,21/7/2013,10,0,88,168,69,44,133,7,3,13,3,None,No
215,1965,PhD,Single,40760,1,30/8/2013,64,0,0,17,0,0,6,2,1,3,2,None,No
216,1974,Graduation,Together,56715,0,5/12/2012,52,0,105,239,237,172,9,7,3,4,1,None,No
217,1971,PhD,Married,71969,1,16/10/2012,59,0,0,76,0,0,10,3,4,9,3,None,No
218,1957,PhD,Married,75283,3,27/3/2013,26,0,9,180,12,19,66,6,3,5,11,None,No
219,1975,Master,Together,22669,1,22/5/2013,30,0,14,36,37,22,48,4,1,2,3,None,Yes
220,1980,Graduation,Married,61014,1,11/8/2012,17,0,129,495,182,43,29,9,3,4,4,None,No
221,1960,Master,Together,41275,3,24/3/2014,33,0,4,22,0,2,9,3,1,3,4,None,No
222,1976,Master,Married,81929,1,29/9/2012,60,0,55,278,49,0,185,4,4,10,2,None,Yes
223,1982,Master,Together,27590,1,23/4/2013,38,0,0,5,0,0,1,1,0,2,1,None,No
224,1956,Master,Married,50965,1,20/2/2013,87,0,13,85,8,6,29,10,4,5,3,None,No
225,1973,PhD,Married,85844,0,29/5/2014,62,0,19,843,25,95,38,6,6,7,1,None,No
226,1967,PhD,Single,52569,1,5/4/2014,54,0,0,3,0,0,7,2,0,4,1,None,No
227,1960,Master,Together,17144,2,15/2/2014,96,0,2,19,0,2,6,3,0,4,5,None,No
228,1964,Graduation,Single,81246,0,29/12/2013,87,0,190,537,61,156,37,4,5,7,1,First,No
229,1984,PhD,Married,73356,0,6/2/2014,56,0,14,322,0,14,112,5,11,5,1,First,Yes
230,1953,PhD,Married,55707,1,22/12/2013,91,0,7,82,30,66,35,3,2,9,2,None,No
231,1972,Graduation,Married,22063,1,8/8/2013,43,0,10,13,3,11,11,2,0,3,2,None,No
232,1949,Master,Together,49912,1,7/9/2012,5,0,8,223,32,49,42,10,5,7,4,None,Yes
233,1899,PhD,Together,83532,0,26/9/2013,36,0,144,562,104,64,224,4,6,4,1,None,No
234,1966,Graduation,Divorced,48877,1,5/1/2014,27,0,1,15,2,0,24,3,0,4,1,None,No
235,1970,Graduation,Married,13260,2,23/8/2013,48,0,4,17,10,2,7,3,0,3,4,None,No
236,1987,PhD,Single,42000,0,10/1/2013,23,0,83,267,85,59,35,5,2,11,2,None,Yes
237,1958,PhD,Single,50729,2,2/5/2013,62,0,13,143,45,4,52,6,2,7,9,None,No
238,1978,PhD,Married,72159,0,29/10/2012,62,0,53,899,34,40,53,4,6,10,1,None,No
239,1975,Graduation,Married,27573,1,25/3/2013,45,0,15,110,39,15,15,5,1,4,4,None,No
240,1983,PhD,Married,92491,0,1/5/2013,71,0,44,935,29,25,22,7,5,12,1,First,Yes
241,1947,Master,Together,77632,0,10/3/2013,73,0,105,758,0,42,147,4,2,6,1,None,Yes
242,1983,Master,Married,36262,0,20/9/2013,24,0,39,54,64,28,153,3,5,3,1,None,Yes
243,1973,Graduation,Married,26228,1,22/9/2013,50,0,6,4,3,1,9,1,0,2,1,None,No
244,1966,Master,Together,49618,2,26/1/2013,77,0,3,26,4,2,14,3,1,3,4,None,No
245,1949,Master,Married,36408,2,21/9/2013,11,0,1,4,3,2,3,1,0,2,1,None,No
246,1968,PhD,Divorced,69674,2,22/5/2013,46,0,41,215,11,0,24,10,2,10,3,None,No
247,1970,PhD,Married,67536,1,22/5/2013,45,0,0,447,23,71,35,11,5,11,3,First,No
248,1973,Graduation,Married,52845,1,13/8/2013,7,0,25,292,130,41,64,8,8,6,3,None,No
249,1978,Graduation,Together,70440,0,8/10/2013,49,0,117,499,76,102,88,5,10,7,1,First,No
250,1963,Graduation,Married,80124,0,26/6/2014,47,0,84,398,205,84,241,3,7,8,1,None,No
251,1982,PhD,Together,70038,0,25/10/2013,54,0,54,348,71,54,130,4,4,8,1,None,No
252,1984,2n Cycle,Married,14796,1,17/9/2012,1,0,3,8,7,4,16,1,0,3,2,None,Yes
253,1966,Graduation,Single,63810,1,11/11/2012,45,0,12,253,16,12,101,4,3,12,4,None,No
254,1976,Graduation,Single,37697,1,7/2/2014,82,0,6,21,11,4,8,2,1,3,1,None,No
255,1965,Master,Single,55250,1,21/10/2012,49,0,58,83,32,0,66,7,5,10,4,None,No
256,1960,Graduation,Together,78468,0,9/4/2014,29,0,22,388,104,22,34,10,7,10,1,First,No
257,1978,PhD,Together,27683,1,4/8/2012,90,0,9,121,12,12,45,6,2,4,4,None,No
258,1963,Graduation,Married,,1,11/8/2013,96,0,65,196,38,71,124,6,5,7,1,None,No
259,1978,Graduation,Divorced,41986,1,9/2/2014,15,0,5,8,8,3,12,3,0,4,3,None,No
260,1974,Graduation,Married,26067,1,4/11/2013,49,0,2,18,0,2,12,3,0,3,3,None,No
261,1988,Graduation,Married,38872,1,30/5/2013,93,0,3,21,3,19,22,3,0,3,2,None,No
262,1982,2n Cycle,Married,57937,1,16/2/2014,56,0,42,144,55,48,133,4,4,9,3,None,No
263,1977,Graduation,Single,35790,1,2/1/2013,54,0,6,20,30,1,3,2,0,3,2,None,No
264,1986,Graduation,Married,92910,0,24/4/2014,42,1,137,792,179,103,33,6,7,13,1,First,No
265,1968,Graduation,Together,58554,2,26/9/2012,55,0,24,68,38,0,88,8,2,6,6,None,No
266,1970,Graduation,Married,50447,2,21/4/2014,4,0,7,24,2,3,27,3,1,3,1,None,No
267,1956,Master,Together,58656,1,20/9/2012,25,0,12,194,16,24,12,7,8,13,4,None,No
268,1970,Graduation,Together,74854,3,8/4/2013,90,0,59,487,58,29,73,2,5,5,7,None,No
269,1974,Master,Married,82584,0,4/6/2013,26,0,68,103,29,91,68,3,4,8,1,None,Yes
